Entity,Code,Day,total_vaccinations
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,8200
Afghanistan,AFG,2021-03-16,54000
Afghanistan,AFG,2021-04-07,120000
Africa,,2021-01-09,0
Africa,,2021-01-13,2000
Africa,,2021-01-15,4000
Africa,,2021-01-16,7000
Africa,,2021-01-19,10976
Africa,,2021-01-20,13163
Africa,,2021-01-22,16890
Africa,,2021-01-23,18353
Africa,,2021-01-24,18353
Africa,,2021-01-25,19889
Africa,,2021-01-26,22712
Africa,,2021-01-27,25587
Africa,,2021-01-28,28779
Africa,,2021-01-29,30861
Africa,,2021-01-30,122206
Africa,,2021-01-31,158206
Africa,,2021-02-01,236712
Africa,,2021-02-02,295127
Africa,,2021-02-03,347149
Africa,,2021-02-04,390474
Africa,,2021-02-05,446986
Africa,,2021-02-06,504800
Africa,,2021-02-08,593502
Africa,,2021-02-09,661263
Africa,,2021-02-10,795836
Africa,,2021-02-11,908796
Africa,,2021-02-12,1165581
Africa,,2021-02-13,1446178
Africa,,2021-02-15,1766999
Africa,,2021-02-16,1965819
Africa,,2021-02-17,2147659
Africa,,2021-02-18,2303964
Africa,,2021-02-19,2513999
Africa,,2021-02-20,2616931
Africa,,2021-02-21,2622421
Africa,,2021-02-22,2745898
Africa,,2021-02-23,2854362
Africa,,2021-02-24,3153546
Africa,,2021-02-25,3434869
Africa,,2021-02-26,3677524
Africa,,2021-02-27,3866267
Africa,,2021-02-28,3873994
Africa,,2021-03-01,4091848
Africa,,2021-03-02,4252773
Africa,,2021-03-03,4424168
Africa,,2021-03-04,4570159
Africa,,2021-03-05,4808230
Africa,,2021-03-06,5013197
Africa,,2021-03-07,5053898
Africa,,2021-03-08,5402174
Africa,,2021-03-09,5542597
Africa,,2021-03-10,5882799
Africa,,2021-03-11,6071207
Africa,,2021-03-12,6381226
Africa,,2021-03-13,6784874
Africa,,2021-03-14,6801397
Africa,,2021-03-15,7194432
Africa,,2021-03-16,7429911
Africa,,2021-03-17,7631610
Africa,,2021-03-18,7819050
Africa,,2021-03-19,8127146
Africa,,2021-03-20,8219505
Africa,,2021-03-21,8241053
Africa,,2021-03-22,8363294
Africa,,2021-03-23,8518432
Africa,,2021-03-24,9341063
Africa,,2021-03-25,9628653
Africa,,2021-03-26,9897181
Africa,,2021-03-27,10223018
Africa,,2021-03-28,10481867
Africa,,2021-03-29,10694782
Africa,,2021-03-30,10891567
Africa,,2021-03-31,11355255
Africa,,2021-04-01,11608832
Africa,,2021-04-02,11762596
Africa,,2021-04-03,11897835
Africa,,2021-04-04,11971747
Africa,,2021-04-05,12126496
Africa,,2021-04-06,12465523
Africa,,2021-04-07,12831255
Africa,,2021-04-08,13146071
Africa,,2021-04-09,13297319
Africa,,2021-04-10,13484677
Africa,,2021-04-11,13634323
